Countries with the largest population 2018,
Ten countries with the largest population in mid 2018 (in millions) ,
,Inhabitants in millions
China,"1,393.8"
India,"1,371.3"
USA,328
Indonesia,265.2
Brazil,209.4
Pakistan,200.6
Nigeria,195.9
Bangladesh,166.4
Russia,147.3
Mexico,130.8
