Country,Year,Inhabitants
China,2018,1393.8
India,2018,1371.3
USA,2018,328
Indonesia,2018,265.2
Brazil,2018,209.4
Pakistan,2018,200.6
Nigeria,2018,195.9
Bangladesh,2018,166.4
Russia,2018,147.3
Mexico,2018,130.8
